ATOM	Z	THR	ORDER	BOX	CENTERED?	D2?	PREC (-log)	DERIVATIVE	ENERGY
Ar	18	6	10	3	1	0	7	ABGV	-1.62704371522369E+02
Ar	18	7	11	3	1	0	8	ABGV	-1.62704516519224E+02
Ar	18	3	7	3	1	1	4	ABGV	-1.62704489063409E+02
Ar	18	4	8	3	1	1	5	ABGV	-1.62704476166018E+02
Ar	18	5	9	3	1	1	6	ABGV	-1.62704530111372E+02
Ar	18	6	10	3	1	1	7	ABGV	-1.62704528281006E+02
Ar	18	7	11	3	1	1	8	ABGV	-1.62704525515397E+02
Ar	18	3	7	3	0	0	4	PH	-1.62701200609175E+02
Ar	18	4	8	3	0	0	5	PH	-1.62704199643085E+02
Ar	18	5	9	3	0	0	6	PH	-1.62704489204934E+02
Ar	18	6	10	3	0	0	7	PH	-1.62704528441674E+02
Ar	18	7	11	3	0	0	8	PH	-1.62704527883492E+02
Ar	18	3	7	3	0	1	4	PH	1.62704684163676E+02
Ar	18	4	8	3	0	1	5	PH	-1.62704526604113E+02
Ar	18	5	9	3	0	1	6	PH	-1.62704525286630E+02
Ar	18	6	10	3	0	1	7	PH	-1.62704525209795E+02
Ar	18	7	11	3	0	1	8	PH	-1.62704525557630E+02
Ar	18	3	7	3	1	0	4	PH	-1.62673526378839E+02
Ar	18	4	8	3	1	0	5	PH	-1.62699989872395E+02
Ar	18	5	9	3	1	0	6	PH	-1.62710271114287E+02
Ar	18	6	10	3	1	0	7	PH	-1.62704023970993E+02
Ar	18	7	11	3	1	0	8	PH	-1.62704526144250E+02
Ar	18	3	7	3	1	1	4	PH	-1.62709300701480E+02
Ar	18	4	8	3	1	1	5	PH	-1.62704531371742E+02
Ar	18	5	9	3	1	1	6	PH	-1.62704526061093E+02
Ar	18	6	10	3	1	1	7	PH	-1.62704525305947E+02
Ar	18	7	11	3	1	1	8	PH	-1.62704525577282E+02





























Hg, 80, 5, 9, 1, 1, 1, 6, PH, -3047.01618832629
Hg, 80, 5, 9, 1, 0, 0, 6, ABGV, -3530.1784675301387
Hg, 80, 5, 9, 1, 0, 1, 6, ABGV, -3046.7012496078405
Hg, 80, 5, 9, 1, 1, 0, 6, BS, -3530.177278722136
Hg, 80, 4, 8, 1, 1, 0, 5, ABGV, -3530.2723910160257
Hg, 80, 4, 8, 1, 1, 1, 5, ABGV, -3047.845612523348
Hg, 80, 3, 7, 1, 1, 0, 4, BS, -3529.7178881038235
Hg, 80, 3, 7, 1, 1, 1, 4, PH, -3056.975793453963
